accuracy,loss,val_accuracy,val_loss
0.784375011920929,0.5088726282119751,0.8815000057220459,0.3201657831668854
0.8568750023841858,0.3531745970249176,0.887499988079071,0.27721157670021057
0.8577499985694885,0.34242886304855347,0.8930000066757202,0.27140647172927856
0.8632500171661377,0.3274998068809509,0.8889999985694885,0.2730456292629242
0.8650000095367432,0.31803423166275024,0.890500009059906,0.2698303461074829
0.8708750009536743,0.31662458181381226,0.8889999985694885,0.27239617705345154
0.8676249980926514,0.3128897547721863,0.8939999938011169,0.26801392436027527
0.8679999709129333,0.3116302192211151,0.8920000195503235,0.2671310305595398
0.875124990940094,0.30582761764526367,0.8974999785423279,0.26635631918907166
0.8715000152587891,0.3043094277381897,0.8945000171661377,0.26578524708747864
0.8711249828338623,0.30499792098999023,0.8945000171661377,0.2641018331050873
0.8732500076293945,0.30162227153778076,0.8934999704360962,0.2628898322582245
0.8713750243186951,0.29935693740844727,0.8934999704360962,0.26305779814720154
0.8732500076293945,0.2989005744457245,0.8914999961853027,0.26428404450416565
0.8778749704360962,0.2912237346172333,0.8960000276565552,0.2629071772098541
0.8763750195503235,0.2926415205001831,0.8970000147819519,0.26134246587753296
0.8776249885559082,0.29497644305229187,0.8999999761581421,0.2593487799167633
0.8759999871253967,0.29158729314804077,0.8974999785423279,0.2593218684196472
0.8796250224113464,0.29054972529411316,0.8980000019073486,0.25835543870925903
0.8777499794960022,0.29250046610832214,0.8949999809265137,0.2615571618080139
0.8807500004768372,0.29161497950553894,0.8960000276565552,0.2606796622276306
0.8811249732971191,0.28537246584892273,0.8924999833106995,0.26373377442359924
0.8815000057220459,0.28542545437812805,0.8974999785423279,0.25827842950820923
0.8799999952316284,0.286518931388855,0.8949999809265137,0.26059383153915405
0.8798750042915344,0.2824259102344513,0.8985000252723694,0.2594171464443207
0.8842499852180481,0.2819065749645233,0.8999999761581421,0.2576579749584198
0.887624979019165,0.28198856115341187,0.8985000252723694,0.2591918408870697
0.8827499747276306,0.280950665473938,0.8989999890327454,0.2600462734699249
0.8865000009536743,0.279225617647171,0.8989999890327454,0.25693801045417786
0.8838750123977661,0.281436026096344,0.8985000252723694,0.2590290307998657
