accuracy,loss,val_accuracy,val_loss
0.8116250038146973,0.4587456285953522,0.9135000109672546,0.24326692521572113
0.9016249775886536,0.2347659021615982,0.9315000176429749,0.16673389077186584
0.9122499823570251,0.21023862063884735,0.9330000281333923,0.15658938884735107
0.9182500243186951,0.1907433420419693,0.9365000128746033,0.14903141558170319
0.925125002861023,0.18199099600315094,0.9409999847412109,0.14410041272640228
0.9276250004768372,0.17567817866802216,0.9390000104904175,0.14315055310726166
0.9316250085830688,0.16708067059516907,0.9375,0.14281517267227173
0.9326249957084656,0.16537995636463165,0.940500020980835,0.14118191599845886
0.9336249828338623,0.16261446475982666,0.940500020980835,0.14237016439437866
0.9362499713897705,0.1602775603532791,0.9384999871253967,0.1395447999238968
0.9382500052452087,0.1545903980731964,0.9419999718666077,0.1366155445575714
0.9368749856948853,0.15387214720249176,0.9419999718666077,0.13935624063014984
0.940625011920929,0.14815551042556763,0.9415000081062317,0.13481196761131287
0.9412500262260437,0.1465388685464859,0.9409999847412109,0.1369662880897522
0.9411249756813049,0.14085321128368378,0.9434999823570251,0.1367270052433014
0.9427499771118164,0.14304959774017334,0.9449999928474426,0.13357612490653992
0.9441249966621399,0.1408708691596985,0.9445000290870667,0.13362954556941986
0.9440000057220459,0.1368546187877655,0.9465000033378601,0.1303897649049759
0.9448750019073486,0.13558334112167358,0.9445000290870667,0.13304723799228668
0.9457499980926514,0.13572391867637634,0.949999988079071,0.1280188113451004
0.9465000033378601,0.13285624980926514,0.9505000114440918,0.12668828666210175
0.9477499723434448,0.13035240769386292,0.949999988079071,0.12867580354213715
0.9487500190734863,0.1305270940065384,0.9474999904632568,0.12807397544384003
0.9471250176429749,0.1282399296760559,0.9524999856948853,0.12694938480854034
0.950124979019165,0.12671950459480286,0.9505000114440918,0.12990468740463257
0.9506250023841858,0.12389098107814789,0.9509999752044678,0.1287827044725418
0.949874997138977,0.1240687444806099,0.9495000243186951,0.13043807446956635
0.9497500061988831,0.121779665350914,0.953000009059906,0.12585502862930298
0.949874997138977,0.12065959721803665,0.9520000219345093,0.12638050317764282
0.9513750076293945,0.12289340794086456,0.9520000219345093,0.1259310394525528
